due_at,cutoff_at,on_time_ratio,missed_count_90d,max_days_late_180d,avg_days_late,days_since_last_late,consecutive_on_time_count,plan_amount,tenure_days,installment_amount,installment_number,days_until_due,current_safety_ratio,distance_to_liquidation_threshold,collateral_type,collateral_volatility_bucket,topup_count_30d,topup_recency_days,opened_app_last_7d,clicked_pay_now_last_7d,payment_attempt_failed_count,wallet_age_days,tx_count_30d,stablecoin_balance_bucket,y_miss_next
2025-09-16 17:56:47.030071+00:00,2025-09-14 17:56:47.030071+00:00,0.5933410971614308,0,0.30133526007416084,0.2453192668569026,28.046405994338034,5,32211.158475648917,60,16105.579237824459,2,2.9012685922579062,1.9011687156658108,0.9011687156658108,stable,low,1,11.167069152276754,1,0,0,206.04074652780216,27,medium,1
2026-01-17 17:56:47.030071+00:00,2026-01-15 17:56:47.030071+00:00,0.8668743899020397,1,0.9501003873876068,0.2693775980822297,13.291405573403953,5,35316.5967561072,90,11772.198918702401,3,1.438468395131367,1.1425735578881495,0.14257355788814952,stable,low,1,5.1984716205092925,1,0,0,40.7163763717919,20,low,0
2025-12-26 17:56:47.030071+00:00,2025-12-24 17:56:47.030071+00:00,0.6706447726280251,0,5.755326051758114,3.860008500113425,46.72367731157747,1,108492.8137731764,60,54246.4068865882,1,2.403496595625935,1.20404194201073,0.20404194201073,stable,low,0,9.716295682943823,1,0,1,126.54155808615894,25,low,1
2025-11-17 17:56:47.030071+00:00,2025-11-15 17:56:47.030071+00:00,0.4831680603553443,1,2.8044542272026747,1.9871903006559746,6.255138728204296,5,80074.03412447941,180,13345.672354079901,4,1.7533700239912053,1.281439233105283,0.28143923310528307,stable,low,0,18.15322052824024,1,1,0,240.5068035816455,22,medium,1
2025-11-16 17:56:47.030071+00:00,2025-11-14 17:56:47.030071+00:00,0.7282551962299495,1,5.00102469512251,3.264419457069464,26.066553474626783,6,141644.0021687525,180,23607.33369479208,4,3.6085381921957707,1.592530259524454,0.5925302595244539,stable,medium,1,13.661772254300235,0,1,1,203.74777684547698,24,medium,0
2026-02-01 17:56:47.030071+00:00,2026-01-30 17:56:47.030071+00:00,1.0,0,1.8253411888126,3.3966938822294,16.163394923169797,5,5028.817439614089,60,2514.4087198070447,2,4.054399493466184,1.3488193659845957,0.34881936598459573,volatile,high,1,5.0355422042289115,1,0,0,210.91649802679288,18,low,0
2025-09-15 17:56:47.030071+00:00,2025-09-13 17:56:47.030071+00:00,0.8629335618213234,1,6.149978647602872,7.256742803019029,15.735588227479186,3,59013.87727043479,60,29506.938635217393,4,1.9722515804497287,1.3710675483273538,0.3710675483273538,stable,medium,0,10.485039830942343,1,0,0,106.36853881522191,12,low,0
2026-01-03 17:56:47.030071+00:00,2026-01-01 17:56:47.030071+00:00,1.0,1,0.8522358898412383,4.605599477322579,17.12511944747738,6,34543.74655378601,180,5757.291092297669,2,1.1615585259660686,1.143539743911998,0.14353974391199809,volatile,medium,0,9.709020519737395,1,0,0,128.4902173091066,19,medium,1
2025-10-06 17:56:47.030071+00:00,2025-10-04 17:56:47.030071+00:00,0.8119014261482601,0,1.7496756830056515,1.9689453295230597,14.7557701739829,4,7530.803879826445,60,3765.4019399132226,4,0.844446000730068,1.3666515658692768,0.36665156586927683,volatile,high,2,10.552035475661556,1,0,1,415.01985777318856,17,low,0
2025-09-16 17:56:47.030071+00:00,2025-09-14 17:56:47.030071+00:00,1.0,1,0.9449757181110344,3.084470296934071,16.586220733225442,7,132247.52411186285,30,132247.52411186285,6,3.5304211780471046,1.0829747362699103,0.08297473626991025,stable,low,0,7.205133179311578,1,0,0,79.325042545449,21,medium,0
